system:index,area_km2,area_m2,year,.geo
1984,4501.975238943053,4.501975238943053E9,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1985,4576.731206542082,4.576731206542082E9,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1986,4606.584838222047,4.606584838222048E9,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1987,4553.972905678301,4.553972905678301E9,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1988,0.0,0.0,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1989,0.0,0.0,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1990,4482.170311076926,4.482170311076926E9,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1991,4533.989105360064,4.5339891053600645E9,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1992,4388.257025289228,4.388257025289228E9,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1993,3473.0321780544728,3.473032178054473E9,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1994,0.0,0.0,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1995,4429.532795250192,4.429532795250192E9,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1996,0.0,0.0,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1997,0.0,0.0,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1998,4835.631822014851,4.835631822014852E9,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1999,4664.534033642629,4.664534033642629E9,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000,4494.306787113106,4.494306787113106E9,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001,4394.643037121771,4.394643037121771E9,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002,4243.490124840927,4.243490124840927E9,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003,4322.260088258943,4.322260088258944E9,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2004,4205.618188392285,4.2056181883922853E9,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005,4240.657979187595,4.2406579791875944E9,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006,4336.17310659811,4.33617310659811E9,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007,4301.984473114172,4.301984473114172E9,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008,4065.699238075828,4.065699238075828E9,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2009,3795.8170281815887,3.7958170281815886E9,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010,3742.4897231298887,3.7424897231298885E9,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011,3992.912327739097,3.9929123277390966E9,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012,3734.4722389653634,3.7344722389653635E9,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013,3296.1462790220958,3.2961462790220957E9,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014,3504.79670605795,3.50479670605795E9,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015,3481.240441262271,3.481240441262271E9,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016,3742.919792380882,3.742919792380882E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017,3764.579032562297,3.764579032562297E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018,3609.2954562431783,3.6092954562431784E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019,4006.2765769435096,4.0062765769435096E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020,4062.458970410367,4.062458970410367E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021,4009.3934253358593,4.0093934253358593E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
